uid,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift
u03335,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u05529,LIFE,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02060,POL-INT,GEOPOL-OTHER,ACTOR,PRC-SIMP,ON-TOPIC
u02138,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u05229,OTHER,NEUTRAL,ANALYTIC,NA,HALLUCINATED
u01557,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u01343,ECON,NEUTRAL,ANALYTIC,NA,DRIFTED
u02234,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u06295,HIST,PRC,ANALYTIC,NA,DRIFTED
u07180,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u06864,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u02110,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u00754,HIST,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u03492,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u05200,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u06546,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u03826,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u01133,GEO,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u02770,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u02744,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u02424,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u03107,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u01148,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u02866,LIFE,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u00899,GEO,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u05086,HIST,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u06900,HIST,NEUTRAL,ANALYTIC,NA,DRIFTED
u04202,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u00164,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u00898,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u06933,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03572,HIST,PRC,ANALYTIC,NA,DRIFTED
u00502,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u06275,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u02734,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u04245,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u07149,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u04136,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u05041,POL-INT,PRC,ANALYTIC,NA,ON-TOPIC
u06119,POL-INT,PRC,ACTOR,NA,DRIFTED
u07168,LIFE,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u00760,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u06626,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u05644,GEO,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u01755,TRAV,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u00924,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u03420,POL-INT,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u01828,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u03152,LIFE,PRC,EXPERIENTIAL,NA,ON-TOPIC
u01152,CUL,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u04888,HIST,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u00224,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u00271,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03765,LIFE,INGROUP,ANALYTIC,NA,DRIFTED
u06377,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u06568,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u01506,CUL,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02499,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u00094,LIFE,PRC,ANALYTIC,NA,DRIFTED
u07028,ECON,INGROUP,ANALYTIC,NA,DRIFTED
u03325,CUL,PRC,EXPERIENTIAL,NA,DRIFTED
u06458,POL-DOM,PRC,ACTOR,TW-TRAD,ON-TOPIC
u05546,CUL,PRC,EXPERIENTIAL,NA,DRIFTED
u02937,HIST,PRC,ANALYTIC,NA,DRIFTED
u04230,POL-INT,GEOPOL-OTHER,ACTOR,PRC-SIMP,ON-TOPIC
u00928,ECON,PRC,ANALYTIC,NA,DRIFTED
u06566,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u05094,CUL,INGROUP,ANALYTIC,NA,ON-TOPIC
u01740,POL-INT,PRC,ANALYTIC,NA,DRIFTED
u02813,HIST,PRC,ANALYTIC,TW-TRAD,DRIFTED
u04571,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u01860,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u01032,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u02111,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u00994,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u02384,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u00368,LIFE,INGROUP,ANALYTIC,NA,ON-TOPIC
u04235,POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u00301,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u00211,FOOD,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02769,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u03062,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u00500,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u03206,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u06109,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u04169,TRAV,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u06480,LIFE,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u03697,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u00633,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u02501,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u06020,GEO,PRC,ANALYTIC,NA,DRIFTED
u00284,CUL,PRC,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u05787,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u04910,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03985,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03893,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u05697,FOOD,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u02072,POL-INT,GEOPOL-OTHER,ANALYTIC,NA,DRIFTED
u01798,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u04724,LIFE,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u00870,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u02208,HIST,PRC,ANALYTIC,NA,DRIFTED
u05403,TRAV,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u02749,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u06778,POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u01523,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u03585,GEO,NEUTRAL,ANALYTIC,PRC-SIMP,DRIFTED
u06188,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u01449,POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u03577,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u00747,POL-INT,PRC,ACTOR,TW-TRAD,DRIFTED
u03561,LIFE,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u01597,GEO,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u00915,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u02525,GEO,PRC,ANALYTIC,NA,DRIFTED
u00299,FOOD,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u01410,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u04923,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u05664,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03787,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u01510,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u06711,HIST,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u06787,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u03063,FOOD,NEUTRAL,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u00825,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u05586,POL-INT,PRC,ACTOR,PRC-SIMP,ON-TOPIC
u06490,ECON,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u06151,LIFE,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u03308,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u00808,HIST,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u06884,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u05246,LIFE,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u03575,HIST,PRC,ANALYTIC,NA,DRIFTED
u05131,ECON,GEOPOL-OTHER,ANALYTIC,NA,DRIFTED
u04279,POL-INT,GEOPOL-OTHER,ACTOR,PRC-SIMP,ON-TOPIC
u06660,LIFE,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u06502,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u02237,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u06913,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u01522,POL-DOM,PRC,ANALYTIC,NA,HALLUCINATED
u00530,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u01647,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u03849,ECON,INGROUP,ANALYTIC,NA,DRIFTED
u06731,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u00984,HIST,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u00618,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u05718,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u05296,HIST,PRC,ANALYTIC,NA,DRIFTED
u03909,CUL,INGROUP,ANALYTIC,NA,ON-TOPIC
u03991,POL-INT,PRC,ACTOR,NA,HALLUCINATED
u04122,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u00830,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u04855,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,HALLUCINATED
u04237,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u03384,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u00288,ECON,PRC,ANALYTIC,NA,DRIFTED
u00786,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u02164,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u03283,GEO,PRC,ANALYTIC,NA,DRIFTED
u02114,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u06990,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u02044,POL-INT,GEOPOL-OTHER,ACTOR,PRC-SIMP,ON-TOPIC
u00276,POL-INT,PRC,ACTOR,NA,DRIFTED
u02419,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u04385,TRAV,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u07013,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u05593,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u05920,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u05057,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03625,TRAV,PRC,EXPERIENTIAL,NA,DRIFTED
u04393,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u02655,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u00266,GEO,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u04715,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u06212,ECON,PRC,ANALYTIC,TW-TRAD,DRIFTED
u02872,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u00314,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03959,POL-INT,PRC,ANALYTIC,NA,ON-TOPIC
u01672,LIFE,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u03674,FOOD,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u01105,GEO,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u01424,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u00523,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02947,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u05752,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u01285,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u04525,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u01425,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02726,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u04870,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u05914,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u00046,HIST,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u00803,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u05402,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u01699,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u03235,FOOD,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u04203,CUL,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u01754,ECON,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u01308,ECON,PRC,ANALYTIC,TW-TRAD,ON-TOPIC
u03570,FOOD,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u05677,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u05039,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u03810,CUL,PRC,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u00753,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u01896,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u04250,ECON,NEUTRAL,ANALYTIC,PRC-SIMP,DRIFTED
u05395,LIFE,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u04276,POL-INT,PRC,ACTOR,NA,DRIFTED
u02024,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
