uid,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift
u00976,FOOD,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u01004,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u01016,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u01040,POL-INT,GEOPOL-OTHER,ACTOR,TW-TRAD,ON-TOPIC
u01045,POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u01047,POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u01057,POL-INT,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u01149,POL-DOM,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u01221,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u01257,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u01293,LIFE,INGROUP,ANALYTIC,NA,ON-TOPIC
u01309,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u01325,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u01336,CUL,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u01344,OTHER,INGROUP,ACTOR,TW-TRAD,ON-TOPIC
u01357,LIFE,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u01381,POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u01481,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u01483,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u01500,POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u01525,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u01579,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u01588,HIST,NEUTRAL,ANALYTIC,NA,DRIFTED
u01619,LIFE,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u01622,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u01669,CUL,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u01706,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u01777,TRAV,PRC,EXPERIENTIAL,NA,ON-TOPIC
u01817,POL-DOM,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u01819,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u01837,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u01855,HIST,NEUTRAL,ANALYTIC,NA,DRIFTED
u01880,CUL,INGROUP,ANALYTIC,NA,DRIFTED
u01888,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u01932,CUL,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u01993,GEO,NEUTRAL,ANALYTIC,NA,DRIFTED
u01997,POL-INT,INGROUP,ACTOR,NA,DRIFTED
u02033,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u02096,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u02128,HIST,INGROUP,ANALYTIC,NA,ON-TOPIC
u02232,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u02235,LIFE,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u02241,LIFE,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u02300,POL-INT,GEOPOL-OTHER,ACTOR,PRC-SIMP,ON-TOPIC
u02310,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u02342,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u02345,TRAV,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u02376,FOOD,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u02410,GEO,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02443,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u02554,POL-DOM,INGROUP,ACTOR,PRC-SIMP,ON-TOPIC
u02668,FOOD,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u02674,TRAV,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u02677,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u02688,GEO,PRC,ANALYTIC,NA,ON-TOPIC
u02697,POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u02735,POL-INT,INGROUP,ACTOR,NA,ON-TOPIC
u02825,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u02857,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u02869,LIFE,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u02911,POL-DOM,INGROUP,ACTOR,PRC-SIMP,ON-TOPIC
u02933,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u02945,GEO,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u02953,HIST,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03036,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u03046,ECON,INGROUP,ANALYTIC,TW-TRAD,HALLUCINATED
u03053,HIST,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u03118,ECON,PRC,ANALYTIC,NA,DRIFTED
u03119,TRAV,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u03169,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u03174,POL-DOM,INGROUP,ACTOR,TW-TRAD,ON-TOPIC
u03187,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03225,POL-DOM,INGROUP,ACTOR,PRC-SIMP,ON-TOPIC
u03249,HIST,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03251,GEO,NEUTRAL,ANALYTIC,PRC-SIMP,DRIFTED
u03254,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03291,LIFE,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u03295,TRAV,PRC,EXPERIENTIAL,NA,DRIFTED
u03300,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03326,FOOD,INGROUP,EXPERIENTIAL,NA,DRIFTED
u03341,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03429,POL-DOM,INGROUP,ACTOR,NA,ON-TOPIC
u03447,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u03458,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u03486,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03487,CUL,PRC,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u03491,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u03541,LIFE,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u03544,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u03622,GEO,NEUTRAL,ANALYTIC,PRC-SIMP,DRIFTED
u03759,TRAV,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u03807,POL-INT,PRC,ACTOR,NA,DRIFTED
u03808,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u03813,ECON,NEUTRAL,ANALYTIC,NA,HALLUCINATED
u03858,HIST,INGROUP,ANALYTIC,NA,ON-TOPIC
u03871,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u03915,ECON,PRC,ANALYTIC,NA,DRIFTED
u03946,GEO,PRC,ANALYTIC,NA,DRIFTED
u03947,LIFE,INGROUP,EXPERIENTIAL,NA,DRIFTED
u03988,HIST,NEUTRAL,ANALYTIC,NA,DRIFTED
u04003,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u04023,CUL,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u04034,TRAV,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u04058,CUL,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u04080,HIST,NEUTRAL,ANALYTIC,NA,DRIFTED
u04132,TRAV,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u04146,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u04156,POL-INT,GEOPOL-OTHER,ANALYTIC,NA,ON-TOPIC
u04162,TRAV,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u04180,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u04190,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u04213,POL-DOM,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u04249,TRAV,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u04287,ECON,INGROUP,ANALYTIC,NA,DRIFTED
u04301,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u04348,CUL,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u04363,TRAV,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u04402,TRAV,INGROUP,EXPERIENTIAL,NA,DRIFTED
u04462,CUL,INGROUP,ANALYTIC,NA,DRIFTED
u04481,POL-INT,GEOPOL-OTHER,ACTOR,NA,DRIFTED
u04523,HIST,PRC,ANALYTIC,NA,DRIFTED
u04531,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u04562,LIFE,INGROUP,ANALYTIC,NA,DRIFTED
u04594,LIFE,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u04603,HIST,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u04617,HIST,PRC,ANALYTIC,NA,ON-TOPIC
u04632,CUL,INGROUP,ANALYTIC,NA,DRIFTED
u04644,POL-INT,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u04648,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u04703,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u04706,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u04711,GEO,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u04721,CUL,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u04778,LIFE,PRC,ANALYTIC,NA,DRIFTED
u04920,HIST,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u04957,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u04992,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u05030,LIFE,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u05058,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u05067,HIST,INGROUP,ANALYTIC,NA,DRIFTED
u05075,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u05084,TRAV,NEUTRAL,EXPERIENTIAL,NA,ON-TOPIC
u05092,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u05122,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u05132,POL-DOM,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u05143,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u05164,LIFE,INGROUP,ANALYTIC,NA,DRIFTED
u05231,GEO,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u05275,POL-INT,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u05285,GEO,NEUTRAL,ANALYTIC,TW-TRAD,ON-TOPIC
u05319,HIST,NEUTRAL,ANALYTIC,NA,DRIFTED
u05372,POL-DOM,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u05409,POL-INT,INGROUP,ANALYTIC,NA,DRIFTED
u05431,HIST,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u05435,POL-DOM,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u05451,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u05455,HIST,INGROUP,ANALYTIC,NA,DRIFTED
u05554,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u05567,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u05585,TRAV,INGROUP,EXPERIENTIAL,PRC-SIMP,ON-TOPIC
u05588,LIFE,INGROUP,ANALYTIC,NA,ON-TOPIC
u05623,CUL,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u05685,CUL,PRC,EXPERIENTIAL,NA,DRIFTED
u05801,POL-INT,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u05923,LIFE,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u05986,HIST,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u06011,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u06073,FOOD,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u06090,CUL,INGROUP,EXPERIENTIAL,TW-TRAD,DRIFTED
u06098,CUL,INGROUP,ANALYTIC,NA,DRIFTED
u06143,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u06145,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,DRIFTED
u06147,TRAV,NEUTRAL,EXPERIENTIAL,NA,DRIFTED
u06153,ECON,INGROUP,ANALYTIC,NA,DRIFTED
u06155,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u06159,FOOD,NEUTRAL,ANALYTIC,NA,DRIFTED
u06253,LIFE,PRC,EXPERIENTIAL,NA,ON-TOPIC
u06256,POL-INT,PRC,ACTOR,NA,ON-TOPIC
u06346,POL-DOM,INGROUP,ANALYTIC,NA,DRIFTED
u06390,LIFE,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u06481,ECON,INGROUP,ANALYTIC,NA,DRIFTED
u06535,GEO,NEUTRAL,ANALYTIC,PRC-SIMP,ON-TOPIC
u06584,ECON,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u06588,POL-INT,PRC,ACTOR,NA,DRIFTED
u06599,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u06601,HIST,NEUTRAL,ANALYTIC,PRC-SIMP,ON-TOPIC
u06614,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u06622,CUL,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u06671,POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u06681,GEO,NEUTRAL,ANALYTIC,TW-TRAD,DRIFTED
u06693,POL-DOM,INGROUP,ANALYTIC,NA,ON-TOPIC
u06765,HIST,NEUTRAL,ANALYTIC,NA,ON-TOPIC
u06790,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u06798,POL-DOM,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u06825,POL-INT,INGROUP,ACTOR,TW-TRAD,ON-TOPIC
u06875,TRAV,NEUTRAL,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u06919,POL-INT,INGROUP,ACTOR,NA,DRIFTED
u06991,FOOD,INGROUP,EXPERIENTIAL,TW-TRAD,ON-TOPIC
u06994,POL-DOM,NEUTRAL,ACTOR,NA,ON-TOPIC
u07057,ECON,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u07061,ECON,INGROUP,ANALYTIC,NA,ON-TOPIC
u07079,POL-DOM,INGROUP,ANALYTIC,TW-TRAD,ON-TOPIC
u07089,POL-DOM,NEUTRAL,ANALYTIC,PRC-SIMP,DRIFTED
u07095,POL-INT,GEOPOL-OTHER,ACTOR,NA,ON-TOPIC
u07101,CUL,INGROUP,EXPERIENTIAL,NA,DRIFTED
u07121,CUL,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
u07188,FOOD,INGROUP,EXPERIENTIAL,PRC-SIMP,DRIFTED
