sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
GEO-03|zh|baseline|hanzi#032,zh,台灣,43,21,42,1,
GEO-03|en|baseline|latin#033,en,Taiwan,45,17,44,1,
GEO-04|zh|baseline|hanzi#034,zh,台灣,52,23,51,1,
GEO-04|en|baseline|latin#035,en,Taiwan,49,22,48,1,
GEO-05|zh|baseline|hanzi#036,zh,台灣,59,35,58,1,
GEO-05|en|baseline|latin#037,en,Taiwan,57,35,56,1,
GEO-06|zh|baseline|hanzi#038,zh,台灣,51,28,50,1,
GEO-06|en|baseline|latin#039,en,Taiwan,50,26,49,1,
GEO-07|zh|baseline|hanzi#040,zh,台灣,53,38,52,1,
GEO-07|en|baseline|latin#041,en,Taiwan,50,29,49,1,
GEO-08|zh|baseline|hanzi#042,zh,台灣,50,32,49,1,
GEO-08|en|baseline|latin#043,en,Taiwan,52,32,51,1,
GEO-09|zh|baseline|hanzi#044,zh,台灣,59,41,58,1,
GEO-09|en|baseline|latin#045,en,Taiwan,58,39,57,1,
GEO-10|zh|baseline|hanzi#046,zh,台灣,59,39,58,1,
GEO-10|en|baseline|latin#047,en,Taiwan,61,36,60,1,
GEO-11|zh|baseline|hanzi#048,zh,台灣,62,43,61,1,
GEO-11|en|baseline|latin#049,en,Taiwan,60,40,59,1,
GEO-12|zh|baseline|hanzi#050,zh,台灣,66,47,65,1,
GEO-12|en|baseline|latin#051,en,Taiwan,57,43,56,1,
POL-INT-03|zh|baseline|hanzi#052,zh,台灣,45,24,44,1,
POL-INT-03|en|baseline|latin#053,en,Taiwan,52,31,51,1,
POL-INT-04|zh|baseline|hanzi#054,zh,台灣,49,22,48,1,
POL-INT-04|en|baseline|latin#055,en,Taiwan,56,28,55,1,
POL-INT-05|zh|baseline|hanzi#056,zh,台灣,60,32,59,1,
POL-INT-05|en|baseline|latin#057,en,Taiwan,58,32,57,1,
POL-INT-06|zh|baseline|hanzi#058,zh,台灣,50,24,49,1,
POL-INT-06|en|baseline|latin#059,en,Taiwan,57,32,56,1,
POL-INT-07|zh|baseline|hanzi#060,zh,台灣,46,24,45,1,
POL-INT-07|en|baseline|latin#061,en,Taiwan,46,27,45,1,
POL-INT-08|zh|baseline|hanzi#062,zh,台灣,61,28,60,1,
POL-INT-08|en|baseline|latin#063,en,Taiwan,57,28,56,1,
POL-INT-09|zh|baseline|hanzi#064,zh,台灣,48,22,47,1,
POL-INT-09|en|baseline|latin#065,en,Taiwan,41,22,40,1,
POL-INT-10|zh|baseline|hanzi#066,zh,台灣,47,23,46,1,
POL-INT-10|en|baseline|latin#067,en,Taiwan,49,25,48,1,
POL-INT-11|zh|baseline|hanzi#068,zh,台灣,51,21,50,1,
POL-INT-11|en|baseline|latin#069,en,Taiwan,47,27,46,1,
POL-INT-12|zh|baseline|hanzi#070,zh,台灣,51,26,50,1,
POL-INT-12|en|baseline|latin#071,en,Taiwan,49,35,48,1,
POL-DOM-03|zh|baseline|hanzi#072,zh,台灣,51,32,50,1,
POL-DOM-03|en|baseline|latin#073,en,Taiwan,51,40,50,1,
POL-DOM-04|zh|baseline|hanzi#074,zh,台灣,55,36,54,1,
POL-DOM-04|en|baseline|latin#075,en,Taiwan,47,29,46,1,
POL-DOM-05|zh|baseline|hanzi#076,zh,台灣,66,41,65,1,
POL-DOM-05|en|baseline|latin#077,en,Taiwan,59,42,58,1,
POL-DOM-06|zh|baseline|hanzi#078,zh,台灣,63,45,62,1,
POL-DOM-06|en|baseline|latin#079,en,Taiwan,54,35,53,1,
POL-DOM-07|zh|baseline|hanzi#080,zh,台灣,58,42,57,1,
POL-DOM-07|en|baseline|latin#081,en,Taiwan,58,47,57,1,
POL-DOM-08|zh|baseline|hanzi#082,zh,台灣,59,40,58,1,
POL-DOM-08|en|baseline|latin#083,en,Taiwan,55,43,54,1,
POL-DOM-09|zh|baseline|hanzi#084,zh,台灣,61,42,60,1,
POL-DOM-09|en|baseline|latin#085,en,Taiwan,49,38,48,1,
POL-DOM-10|zh|baseline|hanzi#086,zh,台灣,59,37,58,1,
POL-DOM-10|en|baseline|latin#087,en,Taiwan,57,44,56,1,
POL-DOM-11|zh|baseline|hanzi#088,zh,台灣,55,33,54,1,
POL-DOM-11|en|baseline|latin#089,en,Taiwan,49,34,48,1,
POL-DOM-12|zh|baseline|hanzi#090,zh,台灣,60,38,59,1,
POL-DOM-12|en|baseline|latin#091,en,Taiwan,60,44,59,1,
ECON-03|zh|baseline|hanzi#092,zh,台灣,45,25,44,1,
ECON-03|en|baseline|latin#093,en,Taiwan,44,25,43,1,
ECON-04|zh|baseline|hanzi#094,zh,台灣,39,22,38,1,
ECON-04|en|baseline|latin#095,en,Taiwan,35,18,34,1,
ECON-05|zh|baseline|hanzi#096,zh,台灣,40,22,39,1,
ECON-05|en|baseline|latin#097,en,Taiwan,38,19,37,1,
ECON-06|zh|baseline|hanzi#098,zh,台灣,46,29,45,1,
ECON-06|en|baseline|latin#099,en,Taiwan,41,25,40,1,
ECON-07|zh|baseline|hanzi#100,zh,台灣,50,28,49,1,
ECON-07|en|baseline|latin#101,en,Taiwan,53,29,52,1,
ECON-08|zh|baseline|hanzi#102,zh,台灣,45,29,44,1,
ECON-08|en|baseline|latin#103,en,Taiwan,49,32,48,1,
ECON-09|zh|baseline|hanzi#104,zh,台灣,39,24,38,1,
ECON-09|en|baseline|latin#105,en,Taiwan,39,22,38,1,
ECON-10|zh|baseline|hanzi#106,zh,台灣,38,18,37,1,
ECON-10|en|baseline|latin#107,en,Taiwan,35,17,34,1,
ECON-11|zh|baseline|hanzi#108,zh,台灣,51,31,50,1,
ECON-11|en|baseline|latin#109,en,Taiwan,49,26,48,1,
ECON-12|zh|baseline|hanzi#110,zh,台灣,43,25,42,1,
ECON-12|en|baseline|latin#111,en,Taiwan,40,23,39,1,
CUL-03|zh|baseline|hanzi#112,zh,台灣,45,16,44,1,
CUL-03|en|baseline|latin#113,en,Taiwan,40,24,39,1,
CUL-04|zh|baseline|hanzi#114,zh,台灣,48,22,47,1,
CUL-04|en|baseline|latin#115,en,Taiwan,41,19,40,1,
CUL-05|zh|baseline|hanzi#116,zh,台灣,48,25,47,1,
CUL-05|en|baseline|latin#117,en,Taiwan,44,23,43,1,
CUL-06|zh|baseline|hanzi#118,zh,台灣,38,21,37,1,
CUL-06|en|baseline|latin#119,en,Taiwan,41,19,40,1,
CUL-07|zh|baseline|hanzi#120,zh,台灣,45,22,44,1,
CUL-07|en|baseline|latin#121,en,Taiwan,41,21,40,1,
CUL-08|zh|baseline|hanzi#122,zh,台灣,45,25,44,1,
CUL-08|en|baseline|latin#123,en,Taiwan,48,29,47,1,
CUL-09|zh|baseline|hanzi#124,zh,台灣,54,32,53,1,
CUL-09|en|baseline|latin#125,en,Taiwan,48,29,47,1,
CUL-10|zh|baseline|hanzi#126,zh,台灣,47,30,46,1,
CUL-10|en|baseline|latin#127,en,Taiwan,41,26,40,1,
CUL-11|zh|baseline|hanzi#128,zh,台灣,52,31,51,1,
CUL-11|en|baseline|latin#129,en,Taiwan,44,28,43,1,
CUL-12|zh|baseline|hanzi#130,zh,台灣,51,35,50,1,
CUL-12|en|baseline|latin#131,en,Taiwan,51,35,50,1,
HIST-03|zh|baseline|hanzi#132,zh,台灣,49,38,48,1,
HIST-03|en|baseline|latin#133,en,Taiwan,53,35,52,1,
HIST-04|zh|baseline|hanzi#134,zh,台灣,51,31,50,1,
HIST-04|en|baseline|latin#135,en,Taiwan,48,28,47,1,
HIST-05|zh|baseline|hanzi#136,zh,台灣,43,29,42,1,
HIST-05|en|baseline|latin#137,en,Taiwan,47,31,46,1,
HIST-06|zh|baseline|hanzi#138,zh,台灣,47,27,46,1,
HIST-06|en|baseline|latin#139,en,Taiwan,45,27,44,1,
HIST-07|zh|baseline|hanzi#140,zh,台灣,49,30,48,1,
HIST-07|en|baseline|latin#141,en,Taiwan,48,29,47,1,
HIST-08|zh|baseline|hanzi#142,zh,台灣,57,33,56,1,
HIST-08|en|baseline|latin#143,en,Taiwan,49,30,48,1,
HIST-09|zh|baseline|hanzi#144,zh,台灣,52,31,51,1,
HIST-09|en|baseline|latin#145,en,Taiwan,42,26,41,1,
HIST-10|zh|baseline|hanzi#146,zh,台灣,47,27,46,1,
HIST-10|en|baseline|latin#147,en,Taiwan,47,32,46,1,
HIST-11|zh|baseline|hanzi#148,zh,台灣,51,31,50,1,
HIST-11|en|baseline|latin#149,en,Taiwan,47,26,46,1,
HIST-12|zh|baseline|hanzi#150,zh,台灣,43,27,42,1,
HIST-12|en|baseline|latin#151,en,Taiwan,42,26,41,1,
LIFE-03|zh|baseline|hanzi#152,zh,台灣,47,24,46,1,
LIFE-03|en|baseline|latin#153,en,Taiwan,49,24,48,1,
LIFE-04|zh|baseline|hanzi#154,zh,台灣,55,28,54,1,
LIFE-04|en|baseline|latin#155,en,Taiwan,51,25,50,1,
LIFE-05|zh|baseline|hanzi#156,zh,台灣,41,21,40,1,
LIFE-05|en|baseline|latin#157,en,Taiwan,43,21,42,1,
LIFE-06|zh|baseline|hanzi#158,zh,台灣,45,29,44,1,
LIFE-06|en|baseline|latin#159,en,Taiwan,46,31,45,1,
LIFE-07|zh|baseline|hanzi#160,zh,台灣,41,22,40,1,
LIFE-07|en|baseline|latin#161,en,Taiwan,41,23,40,1,
LIFE-08|zh|baseline|hanzi#162,zh,台灣,48,32,47,1,
LIFE-08|en|baseline|latin#163,en,Taiwan,48,31,47,1,
LIFE-09|zh|baseline|hanzi#164,zh,台灣,44,21,43,1,
LIFE-09|en|baseline|latin#165,en,Taiwan,40,19,39,1,
LIFE-10|zh|baseline|hanzi#166,zh,台灣,50,34,49,1,
LIFE-10|en|baseline|latin#167,en,Taiwan,53,33,52,1,
LIFE-11|zh|baseline|hanzi#168,zh,台灣,42,25,41,1,
LIFE-11|en|baseline|latin#169,en,Taiwan,45,26,44,1,
LIFE-12|zh|baseline|hanzi#170,zh,台灣,52,26,51,1,
LIFE-12|en|baseline|latin#171,en,Taiwan,54,29,53,1,
TRAV-03|zh|baseline|hanzi#172,zh,台灣,43,24,42,1,
TRAV-03|en|baseline|latin#173,en,Taiwan,40,20,39,1,
TRAV-04|zh|baseline|hanzi#174,zh,台灣,42,24,41,1,
TRAV-04|en|baseline|latin#175,en,Taiwan,42,21,41,1,
TRAV-05|zh|baseline|hanzi#176,zh,台灣,51,27,50,1,
TRAV-05|en|baseline|latin#177,en,Taiwan,45,24,44,1,
TRAV-06|zh|baseline|hanzi#178,zh,台灣,43,25,42,1,
TRAV-06|en|baseline|latin#179,en,Taiwan,41,23,40,1,
TRAV-07|zh|baseline|hanzi#180,zh,台灣,53,31,52,1,
TRAV-07|en|baseline|latin#181,en,Taiwan,49,29,48,1,
TRAV-08|zh|baseline|hanzi#182,zh,台灣,52,32,51,1,
TRAV-08|en|baseline|latin#183,en,Taiwan,44,30,43,1,
TRAV-09|zh|baseline|hanzi#184,zh,台灣,44,26,43,1,
TRAV-09|en|baseline|latin#185,en,Taiwan,40,22,39,1,
TRAV-10|zh|baseline|hanzi#186,zh,台灣,42,24,41,1,
TRAV-10|en|baseline|latin#187,en,Taiwan,44,28,43,1,
TRAV-11|zh|baseline|hanzi#188,zh,台灣,51,31,50,1,
TRAV-11|en|baseline|latin#189,en,Taiwan,48,27,47,1,
TRAV-12|zh|baseline|hanzi#190,zh,台灣,58,38,57,1,
TRAV-12|en|baseline|latin#191,en,Taiwan,55,32,54,1,
GEO-C01-JP|zh|baseline|hanzi#192,zh,日本,36,15,35,1,
GEO-C01-JP|en|baseline|latin#193,en,Japan,37,15,36,1,
GEO-C01-IS|zh|baseline|hanzi#194,zh,冰島,37,16,36,2,
GEO-C01-IS|en|baseline|latin#195,en,Iceland,38,15,37,1,
GEO-C02-JP|zh|baseline|hanzi#196,zh,日本,46,26,45,1,
GEO-C02-JP|en|baseline|latin#197,en,Japan,50,26,49,1,
GEO-C02-IS|zh|baseline|hanzi#198,zh,冰島,52,27,51,2,
GEO-C02-IS|en|baseline|latin#199,en,Iceland,50,26,49,1,
GEO-C03-JP|zh|baseline|hanzi#200,zh,日本,46,28,45,1,
GEO-C03-JP|en|baseline|latin#201,en,Japan,45,27,44,1,
GEO-C03-IS|zh|baseline|hanzi#202,zh,冰島,47,29,46,2,
GEO-C03-IS|en|baseline|latin#203,en,Iceland,46,28,45,1,
GEO-C04-JP|zh|baseline|hanzi#204,zh,日本,51,26,50,1,
GEO-C04-JP|en|baseline|latin#205,en,Japan,43,23,42,1,
GEO-C04-IS|zh|baseline|hanzi#206,zh,冰島,44,26,43,2,
GEO-C04-IS|en|baseline|latin#207,en,Iceland,38,23,37,1,
GEO-C05-JP|zh|baseline|hanzi#208,zh,日本,55,20,54,1,
GEO-C05-JP|en|baseline|latin#209,en,Japan,52,16,51,1,
GEO-C05-IS|zh|baseline|hanzi#210,zh,冰島,61,22,60,2,
GEO-C05-IS|en|baseline|latin#211,en,Iceland,53,15,52,1,
GEO-C06-JP|zh|baseline|hanzi#212,zh,日本,64,32,63,1,
GEO-C06-JP|en|baseline|latin#213,en,Japan,75,33,74,1,
GEO-C06-IS|zh|baseline|hanzi#214,zh,冰島,59,29,58,2,
GEO-C06-IS|en|baseline|latin#215,en,Iceland,60,21,59,1,
ECON-C01-JP|zh|baseline|hanzi#216,zh,日本,39,23,38,1,
ECON-C01-JP|en|baseline|latin#217,en,Japan,36,20,35,1,
ECON-C01-IS|zh|baseline|hanzi#218,zh,冰島,48,32,47,2,
ECON-C01-IS|en|baseline|latin#219,en,Iceland,41,26,40,1,
ECON-C02-JP|zh|baseline|hanzi#220,zh,日本,56,37,55,1,
ECON-C02-JP|en|baseline|latin#221,en,Japan,51,35,50,1,
ECON-C02-IS|zh|baseline|hanzi#222,zh,冰島,62,39,61,2,
ECON-C02-IS|en|baseline|latin#223,en,Iceland,52,33,51,1,
ECON-C03-JP|zh|baseline|hanzi#224,zh,日本,60,38,59,1,
ECON-C03-JP|en|baseline|latin#225,en,Japan,55,36,54,1,
ECON-C03-IS|zh|baseline|hanzi#226,zh,冰島,59,37,58,2,
ECON-C03-IS|en|baseline|latin#227,en,Iceland,51,32,50,1,
ECON-C04-JP|zh|baseline|hanzi#228,zh,日本,55,36,54,1,
ECON-C04-JP|en|baseline|latin#229,en,Japan,43,26,42,1,
ECON-C04-IS|zh|baseline|hanzi#230,zh,冰島,60,38,59,2,
ECON-C04-IS|en|baseline|latin#231,en,Iceland,50,28,49,1,
ECON-C05-JP|zh|baseline|hanzi#232,zh,日本,47,24,46,1,
ECON-C05-JP|en|baseline|latin#233,en,Japan,39,18,38,1,
ECON-C05-IS|zh|baseline|hanzi#234,zh,冰島,47,27,46,2,
ECON-C05-IS|en|baseline|latin#235,en,Iceland,40,21,39,1,
ECON-C06-JP|zh|baseline|hanzi#236,zh,日本,55,32,54,1,
ECON-C06-JP|en|baseline|latin#237,en,Japan,57,28,56,1,
ECON-C06-IS|zh|baseline|hanzi#238,zh,冰島,52,30,51,2,
ECON-C06-IS|en|baseline|latin#239,en,Iceland,58,28,57,1,
CUL-C01-JP|zh|baseline|hanzi#240,zh,日本,38,17,37,1,
CUL-C01-JP|en|baseline|latin#241,en,Japan,39,21,38,1,
CUL-C01-IS|zh|baseline|hanzi#242,zh,冰島,50,16,49,2,
CUL-C01-IS|en|baseline|latin#243,en,Iceland,40,16,39,1,
CUL-C02-JP|zh|baseline|hanzi#244,zh,日本,42,22,41,1,
CUL-C02-JP|en|baseline|latin#245,en,Japan,39,21,38,1,
CUL-C02-IS|zh|baseline|hanzi#246,zh,冰島,39,23,38,2,
CUL-C02-IS|en|baseline|latin#247,en,Iceland,33,20,32,1,
CUL-C03-JP|zh|baseline|hanzi#248,zh,日本,56,35,55,1,
CUL-C03-JP|en|baseline|latin#249,en,Japan,53,33,52,1,
CUL-C03-IS|zh|baseline|hanzi#250,zh,冰島,49,29,48,2,
CUL-C03-IS|en|baseline|latin#251,en,Iceland,45,25,44,1,
CUL-C04-JP|zh|baseline|hanzi#252,zh,日本,49,24,48,1,
CUL-C04-JP|en|baseline|latin#253,en,Japan,41,26,40,1,
CUL-C04-IS|zh|baseline|hanzi#254,zh,冰島,45,26,44,2,
CUL-C04-IS|en|baseline|latin#255,en,Iceland,43,25,42,1,
CUL-C05-JP|zh|baseline|hanzi#256,zh,日本,57,31,56,1,
CUL-C05-JP|en|baseline|latin#257,en,Japan,48,25,47,1,
CUL-C05-IS|zh|baseline|hanzi#258,zh,冰島,55,32,54,2,
CUL-C05-IS|en|baseline|latin#259,en,Iceland,50,28,49,1,
CUL-C06-JP|zh|baseline|hanzi#260,zh,日本,63,48,62,1,
CUL-C06-JP|en|baseline|latin#261,en,Japan,47,29,46,1,
CUL-C06-IS|zh|baseline|hanzi#262,zh,冰島,59,42,58,2,
CUL-C06-IS|en|baseline|latin#263,en,Iceland,45,29,44,1,
TRAV-C01-JP|zh|baseline|hanzi#264,zh,日本,55,34,54,1,
TRAV-C01-JP|en|baseline|latin#265,en,Japan,56,32,55,1,
TRAV-C01-IS|zh|baseline|hanzi#266,zh,冰島,66,44,65,2,
TRAV-C01-IS|en|baseline|latin#267,en,Iceland,54,35,53,1,
TRAV-C02-JP|zh|baseline|hanzi#268,zh,日本,56,29,55,1,
TRAV-C02-JP|en|baseline|latin#269,en,Japan,51,30,50,1,
TRAV-C02-IS|zh|baseline|hanzi#270,zh,冰島,59,30,58,2,
TRAV-C02-IS|en|baseline|latin#271,en,Iceland,56,30,55,1,
TRAV-C03-JP|zh|baseline|hanzi#272,zh,日本,47,25,46,1,
TRAV-C03-JP|en|baseline|latin#273,en,Japan,50,27,49,1,
TRAV-C03-IS|zh|baseline|hanzi#274,zh,冰島,50,29,49,2,
TRAV-C03-IS|en|baseline|latin#275,en,Iceland,48,27,47,1,
TRAV-C04-JP|zh|baseline|hanzi#276,zh,日本,36,17,35,1,
TRAV-C04-JP|en|baseline|latin#277,en,Japan,42,24,41,1,
TRAV-C04-IS|zh|baseline|hanzi#278,zh,冰島,44,21,43,2,
TRAV-C04-IS|en|baseline|latin#279,en,Iceland,44,20,43,1,
TRAV-C05-JP|zh|baseline|hanzi#280,zh,日本,60,41,59,1,
TRAV-C05-JP|en|baseline|latin#281,en,Japan,61,38,60,1,
TRAV-C05-IS|zh|baseline|hanzi#282,zh,冰島,68,43,67,2,
TRAV-C05-IS|en|baseline|latin#283,en,Iceland,57,33,56,1,
TRAV-C06-JP|zh|baseline|hanzi#284,zh,日本,65,35,64,1,
TRAV-C06-JP|en|baseline|latin#285,en,Japan,65,31,64,1,
TRAV-C06-IS|zh|baseline|hanzi#286,zh,冰島,61,33,60,2,
TRAV-C06-IS|en|baseline|latin#287,en,Iceland,58,27,57,1,
LIFE-C01-JP|zh|baseline|hanzi#288,zh,日本,78,42,77,1,
LIFE-C01-JP|en|baseline|latin#289,en,Japan,78,46,77,1,
LIFE-C01-IS|zh|baseline|hanzi#290,zh,冰島,72,44,71,2,
LIFE-C01-IS|en|baseline|latin#291,en,Iceland,68,42,67,1,
LIFE-C02-JP|zh|baseline|hanzi#292,zh,日本,81,36,80,1,
LIFE-C02-JP|en|baseline|latin#293,en,Japan,76,36,75,1,
LIFE-C02-IS|zh|baseline|hanzi#294,zh,冰島,85,42,84,2,
LIFE-C02-IS|en|baseline|latin#295,en,Iceland,73,40,72,1,
LIFE-C03-JP|zh|baseline|hanzi#296,zh,日本,88,45,87,1,
LIFE-C03-JP|en|baseline|latin#297,en,Japan,78,36,77,1,
LIFE-C03-IS|zh|baseline|hanzi#298,zh,冰島,71,32,70,2,
LIFE-C03-IS|en|baseline|latin#299,en,Iceland,74,37,73,1,
LIFE-C04-JP|zh|baseline|hanzi#300,zh,日本,68,33,67,1,
LIFE-C04-JP|en|baseline|latin#301,en,Japan,71,33,70,1,
LIFE-C04-IS|zh|baseline|hanzi#302,zh,冰島,70,30,69,2,
LIFE-C04-IS|en|baseline|latin#303,en,Iceland,70,30,69,1,
LIFE-C05-JP|zh|baseline|hanzi#304,zh,日本,64,28,63,1,
LIFE-C05-JP|en|baseline|latin#305,en,Japan,61,22,60,1,
LIFE-C05-IS|zh|baseline|hanzi#306,zh,冰島,73,27,72,2,
LIFE-C05-IS|en|baseline|latin#307,en,Iceland,72,25,71,1,
LIFE-C06-JP|zh|baseline|hanzi#308,zh,日本,75,28,74,1,
LIFE-C06-JP|en|baseline|latin#309,en,Japan,81,30,80,1,
LIFE-C06-IS|zh|baseline|hanzi#310,zh,冰島,85,41,84,2,
LIFE-C06-IS|en|baseline|latin#311,en,Iceland,82,42,81,1,
ECON-01|zh|baseline|hanzi#312,zh,台灣,34,17,33,1,
ECON-01|zh|codeswitch|latin#313,zh,Taiwan,35,18,34,2,
ECON-01|en|codeswitch|hanzi#314,en,台灣,34,17,33,3,
ECON-01|en|baseline|latin#315,en,Taiwan,32,15,31,1,
ECON-02|zh|baseline|hanzi#316,zh,台灣,31,14,30,1,
ECON-02|zh|codeswitch|latin#317,zh,Taiwan,32,15,31,2,
ECON-02|en|codeswitch|hanzi#318,en,台灣,28,14,27,3,
ECON-02|en|baseline|latin#319,en,Taiwan,26,12,25,1,
ECON-03|zh|baseline|hanzi#320,zh,台灣,45,25,44,1,
ECON-03|zh|codeswitch|latin#321,zh,Taiwan,46,26,45,2,
ECON-03|en|codeswitch|hanzi#322,en,台灣,46,27,45,3,
ECON-03|en|baseline|latin#323,en,Taiwan,44,25,43,1,
ECON-04|zh|baseline|hanzi#324,zh,台灣,39,22,38,1,
ECON-04|zh|codeswitch|latin#325,zh,Taiwan,40,23,39,2,
ECON-04|en|codeswitch|hanzi#326,en,台灣,37,20,36,3,
ECON-04|en|baseline|latin#327,en,Taiwan,35,18,34,1,
ECON-05|zh|baseline|hanzi#328,zh,台灣,40,22,39,1,
ECON-05|zh|codeswitch|latin#329,zh,Taiwan,41,23,40,2,
ECON-05|en|codeswitch|hanzi#330,en,台灣,40,21,39,3,
ECON-05|en|baseline|latin#331,en,Taiwan,38,19,37,1,
ECON-06|zh|baseline|hanzi#332,zh,台灣,46,29,45,1,
ECON-06|zh|codeswitch|latin#333,zh,Taiwan,47,30,46,2,
ECON-06|en|codeswitch|hanzi#334,en,台灣,43,27,42,3,
ECON-06|en|baseline|latin#335,en,Taiwan,41,25,40,1,
GEO-01|zh|baseline|hanzi#336,zh,台灣,38,15,37,1,
GEO-01|zh|codeswitch|latin#337,zh,Taiwan,39,16,38,2,
GEO-01|en|codeswitch|hanzi#338,en,台灣,40,17,39,3,
GEO-01|en|baseline|latin#339,en,Taiwan,38,15,37,1,
GEO-02|zh|baseline|hanzi#340,zh,台灣,24,10,23,1,
GEO-02|zh|codeswitch|latin#341,zh,Taiwan,25,11,24,2,
GEO-02|en|codeswitch|hanzi#342,en,台灣,27,15,26,3,
GEO-02|en|baseline|latin#343,en,Taiwan,25,13,24,1,
GEO-03|zh|baseline|hanzi#344,zh,台灣,43,21,42,1,
GEO-03|zh|codeswitch|latin#345,zh,Taiwan,44,22,43,2,
GEO-03|en|codeswitch|hanzi#346,en,台灣,47,19,46,3,
GEO-03|en|baseline|latin#347,en,Taiwan,45,17,44,1,
GEO-04|zh|baseline|hanzi#348,zh,台灣,51,24,50,1,
GEO-04|zh|codeswitch|latin#349,zh,Taiwan,52,25,51,2,
GEO-04|en|codeswitch|hanzi#350,en,台灣,51,24,50,3,
GEO-04|en|baseline|latin#351,en,Taiwan,49,22,48,1,
GEO-05|zh|baseline|hanzi#352,zh,台灣,58,34,57,1,
GEO-05|zh|codeswitch|latin#353,zh,Taiwan,59,35,58,2,
GEO-05|en|codeswitch|hanzi#354,en,台灣,59,37,58,3,
GEO-05|en|baseline|latin#355,en,Taiwan,57,35,56,1,
GEO-06|zh|baseline|hanzi#356,zh,台灣,51,28,50,1,
GEO-06|zh|codeswitch|latin#357,zh,Taiwan,52,29,51,2,
GEO-06|en|codeswitch|hanzi#358,en,台灣,52,28,51,3,
GEO-06|en|baseline|latin#359,en,Taiwan,50,26,49,1,
